ori_dbid,display_name,related_events,related_organizations,related_people,related_places,related_recognitions,related_resources,related_works,related_total_count
4da19637b538b73d930077e8,"""Alfred R. Coffey""",11,0,12,12,8,23,14,80
4da19648b538b73d93007c6a,"""Albert Collins""",0,0,7,3,0,4,2,16
4da1964db538b73d93007d07,"""Amalie Sara Colquhoun""",4,0,9,6,0,11,6,36
4da19661b538b73d9300806c,"""Muriel Warren Cornish""",6,0,3,3,0,6,1,19
4da19666b538b73d930081a0,"""Noel Counihan""",16,0,26,4,0,12,9,67
4da19669b538b73d93008259,"""Theodora Esther Cowan""",4,0,3,8,1,23,7,46
4da19672b538b73d930083ab,"""Sybil Mary Frances Craig""",17,0,9,7,0,12,0,45
4da19674b538b73d9300840d,"""Olive Crane""",4,0,9,8,0,14,0,35
4da19677b538b73d93008498,"""Helen Maxwell Crear""",0,0,6,2,0,0,4,12
4da19682b538b73d930086c5,"""Grace Crowley""",16,0,23,10,0,9,4,62
4da19683b538b73d9300871d,"""Janet Cumming""",2,0,1,3,0,4,4,14
4da1968eb538b73d93008902,"""Robert Emerson Curtis""",5,0,7,17,0,19,3,51
4da19690b538b73d9300894e,"""Aline M. Cusack""",5,0,7,2,0,4,0,18
4da19690b538b73d93008981,"""Edith E. Cusack""",10,0,6,10,0,26,15,67
4da19694b538b73d93008a6d,"""Lyndon Dadswell""",3,0,15,0,0,3,1,22
4da1969ab538b73d93008b3a,"""Roy Frederick Leslie Dalgarno""",11,0,11,20,1,10,8,61
4da1969db538b73d93008c18,"""George Henry Dancey""",0,0,6,3,0,7,3,19
4da1969fb538b73d93008c40,"""Alice Danciger""",10,0,15,7,0,8,2,42
4da196a0b538b73d93008c76,"""Annie Garvin Dangar""",4,0,3,15,0,15,0,37
4da196afb538b73d93008d76,"""Bill Spencer""",5,0,5,4,4,3,1,22
4da196b3b538b73d93008e6e,"""Bessie Davidson""",14,0,4,15,1,6,4,44
